step,total_loss,sigreg_proxy_loss,pred_loss,learning_rate,grad_norm_post
18801,6.695853e-06,6.536025e-06,1.598279e-07,2.153804e-04,6.619544e-03
18901,8.414178e-06,8.171432e-06,2.427464e-07,2.145340e-04,4.237801e-03
19001,6.656308e-06,5.892777e-06,7.635311e-07,2.136851e-04,5.126163e-03
19101,3.561887e-06,3.329802e-06,2.320854e-07,2.128338e-04,4.402098e-03
19201,1.442619e-06,1.183355e-06,2.592638e-07,2.119801e-04,2.156320e-03
19301,6.859181e-06,6.178499e-06,6.806819e-07,2.111240e-04,5.465943e-03
19401,4.270455e-06,3.979853e-06,2.906025e-07,2.102657e-04,6.147639e-03
19501,9.308576e-06,9.140560e-06,1.680159e-07,2.094051e-04,7.700770e-03
19601,2.708432e-06,2.683722e-06,2.471030e-08,2.085423e-04,4.001201e-03
19701,4.650234e-06,4.506605e-06,1.436284e-07,2.076772e-04,5.355137e-03
19801,7.103872e-06,6.835984e-06,2.678878e-07,2.068100e-04,5.338139e-03
19901,4.679787e-06,3.840728e-06,8.390594e-07,2.059406e-04,5.732470e-03
20001,4.538608e-06,3.635142e-06,9.034668e-07,2.050692e-04,1.108317e-03
20101,4.166646e-06,3.993287e-06,1.733585e-07,2.041957e-04,2.068005e-03
20201,8.535682e-06,8.257305e-06,2.783773e-07,2.033202e-04,3.450744e-03
20301,4.789820e-06,4.570953e-06,2.188671e-07,2.024427e-04,4.366617e-04
20401,1.208769e-05,1.202942e-05,5.827005e-08,2.015632e-04,9.695949e-03
20501,3.795916e-07,1.887810e-07,1.908107e-07,2.006819e-04,9.320336e-04
20601,1.650347e-05,1.574372e-05,7.597419e-07,1.997986e-04,3.382278e-03
20701,2.506123e-06,1.981460e-06,5.246630e-07,1.989135e-04,2.653220e-03
20801,9.678074e-07,8.800587e-07,8.774872e-08,1.980266e-04,6.411867e-04
20901,4.270869e-06,4.201711e-06,6.915794e-08,1.971380e-04,5.167408e-03
21001,3.495214e-06,3.417370e-06,7.784377e-08,1.962476e-04,4.300973e-03
21101,1.463906e-05,1.446737e-05,1.716954e-07,1.953555e-04,9.809640e-03
21201,3.233429e-05,3.219976e-05,1.345269e-07,1.944618e-04,1.642391e-02
21301,1.731476e-05,1.696387e-05,3.508926e-07,1.935664e-04,1.011356e-02
21401,2.699849e-06,2.252350e-06,4.474994e-07,1.926694e-04,4.070394e-03
21501,2.928108e-06,2.470039e-06,4.580686e-07,1.917709e-04,3.274566e-03
21601,5.682003e-06,5.474826e-06,2.071767e-07,1.908709e-04,5.234089e-03
21701,1.247021e-05,1.203316e-05,4.370538e-07,1.899694e-04,3.437415e-03
21801,7.159320e-06,7.052441e-06,1.068790e-07,1.890665e-04,5.080536e-03
21901,4.569319e-06,4.273984e-06,2.953349e-07,1.881622e-04,5.394779e-04
22001,1.192509e-05,1.183549e-05,8.960633e-08,1.872565e-04,9.870116e-03
22101,1.461980e-06,1.428163e-06,3.381697e-08,1.863495e-04,2.061973e-03
22201,2.267423e-06,2.022800e-06,2.446224e-07,1.854412e-04,3.627048e-03
22301,1.101606e-06,9.744027e-07,1.272035e-07,1.845316e-04,4.761962e-04
22401,7.839626e-06,7.310764e-06,5.288628e-07,1.836208e-04,5.400375e-03
22501,6.928825e-06,6.686176e-06,2.426493e-07,1.827089e-04,6.075650e-03
22601,3.183589e-06,3.057171e-06,1.264173e-07,1.817958e-04,1.030714e-03
22701,1.762093e-06,1.482219e-06,2.798734e-07,1.808816e-04,1.886059e-03
22801,2.439272e-06,2.284085e-06,1.551873e-07,1.799664e-04,3.216446e-03
22901,3.771876e-06,3.146482e-06,6.253945e-07,1.790501e-04,2.571675e-03
23001,1.971020e-06,1.564316e-06,4.067043e-07,1.781328e-04,3.296252e-03
23101,2.118516e-06,2.013960e-06,1.045553e-07,1.772146e-04,3.292030e-03
23201,2.701285e-06,2.553508e-06,1.477771e-07,1.762955e-04,2.180289e-03
23301,4.397899e-06,4.095258e-06,3.026403e-07,1.753755e-04,3.975843e-04
23401,7.303444e-06,6.832501e-06,4.709426e-07,1.744546e-04,5.764014e-03
23501,4.014466e-06,3.865393e-06,1.490729e-07,1.735330e-04,3.086886e-03
23601,1.590446e-05,1.494386e-05,9.605982e-07,1.726106e-04,1.096648e-02
23701,1.206623e-05,1.170264e-05,3.635880e-07,1.716874e-04,9.695632e-03
23801,6.716685e-06,6.076824e-06,6.398606e-07,1.707636e-04,1.415277e-03
23901,5.817692e-06,5.426687e-06,3.910057e-07,1.698392e-04,3.636228e-03
24001,1.118213e-06,1.041064e-06,7.714879e-08,1.689141e-04,7.241482e-05
24101,1.137685e-05,1.088729e-05,4.895670e-07,1.679884e-04,5.548940e-03
24201,4.834879e-06,4.531109e-06,3.037699e-07,1.670623e-04,4.253509e-03
24301,9.175174e-06,8.523261e-06,6.519130e-07,1.661356e-04,1.689731e-03
24401,3.951505e-06,3.586673e-06,3.648325e-07,1.652085e-04,2.751760e-03
24501,1.712299e-06,1.645151e-06,6.714835e-08,1.642809e-04,2.286796e-03
24601,6.452755e-07,5.921540e-07,5.312158e-08,1.633530e-04,8.502493e-04
24701,1.983424e-06,1.827524e-06,1.559007e-07,1.624247e-04,1.268422e-04
24801,1.532318e-05,1.488582e-05,4.373634e-07,1.614961e-04,4.364135e-03
24901,1.451967e-06,1.325808e-06,1.261593e-07,1.605673e-04,2.782383e-03
25001,5.691290e-06,5.469242e-06,2.220478e-07,1.596382e-04,6.496873e-03
25101,1.067603e-06,9.933791e-07,7.422408e-08,1.587089e-04,1.077318e-03
25201,5.902850e-07,5.505496e-07,3.973533e-08,1.577795e-04,3.335198e-04
25301,7.857244e-06,7.469342e-06,3.879021e-07,1.568500e-04,3.901460e-03
25401,6.481413e-06,5.395045e-06,1.086368e-06,1.559204e-04,5.088003e-03
25501,5.676509e-06,5.471467e-06,2.050421e-07,1.549907e-04,5.760122e-03
25601,1.684711e-05,1.675330e-05,9.380941e-08,1.540611e-04,1.150559e-02
25701,9.132962e-06,8.271675e-06,8.612874e-07,1.531314e-04,8.348242e-03
25801,1.622652e-06,1.569452e-06,5.319973e-08,1.522019e-04,2.664881e-03
25901,1.550342e-06,1.461792e-06,8.855018e-08,1.512725e-04,1.857984e-03
26001,2.510303e-06,2.389211e-06,1.210921e-07,1.503432e-04,9.889963e-04
26101,1.612580e-05,1.526395e-05,8.618506e-07,1.494142e-04,9.920252e-03
26201,4.280488e-06,4.042861e-06,2.376265e-07,1.484853e-04,2.753489e-03
26301,9.149760e-06,8.666318e-06,4.834425e-07,1.475567e-04,6.867021e-04
26401,1.051044e-06,8.353632e-07,2.156806e-07,1.466285e-04,2.004155e-03
26501,3.025570e-06,2.840184e-06,1.853864e-07,1.457005e-04,2.560217e-03
26601,1.611598e-06,1.498252e-06,1.133452e-07,1.447730e-04,1.991434e-03
26701,1.415261e-06,1.263265e-06,1.519967e-07,1.438459e-04,8.467600e-04
26801,5.105622e-06,4.524417e-06,5.812044e-07,1.429192e-04,2.086582e-03
26901,1.372430e-05,1.280236e-05,9.219366e-07,1.419930e-04,2.280497e-03
27001,7.401226e-06,5.873473e-06,1.527752e-06,1.410674e-04,2.532151e-03
27101,1.711482e-05,1.574143e-05,1.373396e-06,1.401423e-04,1.162404e-03
27201,1.605287e-06,1.485207e-06,1.200800e-07,1.392179e-04,1.857762e-03
27301,2.281062e-05,2.161434e-05,1.196283e-06,1.382941e-04,1.200390e-02
27401,8.155664e-06,7.811176e-06,3.444885e-07,1.373710e-04,7.854882e-03
27501,6.108252e-06,5.595995e-06,5.122563e-07,1.364486e-04,1.640489e-03
27601,5.813313e-06,5.736935e-06,7.637783e-08,1.355270e-04,4.784744e-03
27701,1.147183e-06,1.064626e-06,8.255766e-08,1.346061e-04,1.706424e-03
27801,7.123844e-06,6.967095e-06,1.567496e-07,1.336861e-04,5.524606e-03
27901,3.502905e-06,3.456656e-06,4.624886e-08,1.327670e-04,4.761776e-03
28001,2.076295e-06,1.983903e-06,9.239177e-08,1.318488e-04,8.748157e-04
28101,3.170140e-06,2.969005e-06,2.011351e-07,1.309316e-04,1.789348e-03
